"","HIGH","LOW","MOD"
" ENSG00000126368.6|NR1D1",-1.54890283287844,-1.55025293186548,-1.54967268950409
" ENSG00000105516.11|DBP",-0.93912435384252,-1.04423833686273,-0.569561707363078
" ENSG00000111817.19|DSE",0.52611414104902,-0.479920995227913,-0.576042449845733
" ENSG00000104765.16|BNIP3L",0.270464696804043,-0.606016379460464,-0.574940296663166
" ENSG00000177663.15|IL17RA",0.565226557284423,-0.712741629122126,0.36759157034992
" ENSG00000117758.14|STX12",0.309436609088354,-0.537631002768698,-0.366999578090385
" ENSG00000064225.13|ST3GAL6",0.547731366814278,-0.521452262124978,0.716501889754066
" ENSG00000004660.15|CAMKK1",-0.50563395505957,-0.48367075032789,-0.478961728437464
" ENSG00000185361.9|TNFAIP8L1",-0.549162468662852,-0.331306896283267,-0.702743545601574
" ENSG00000105835.13|NAMPT",0.585821728369327,-1.64291599469032,-0.480719473928341
" ENSG00000161813.23|LARP4",0.834534322793065,-0.938136992384767,-0.66770775794804
" ENSG00000119801.13|YPEL5",0.576882018884094,0.900298367373508,-0.603624967909729
" ENSG00000140450.9|ARRDC4",0.432406861054267,-0.746641879751615,-0.422735976790182
" ENSG00000145675.16|PIK3R1",0.663716319074216,-0.649743378785123,0.50237689958479
" ENSG00000178607.17|ERN1",0.499504782435446,-0.468036420397419,0.493246648270588
" ENSG00000165030.4|NFIL3",0.831928267862699,-0.755402702634174,0.792675587413464
" ENSG00000126351.13|THRA",-0.354720020649048,-1.01572758775585,1.35782616141424
" ENSG00000139651.11|ZNF740",0.347006781725933,-0.253205424940038,-0.431030355937406
" ENSG00000011198.10|ABHD5",0.457655217725104,0.520739762971976,-0.513688392864753
" ENSG00000117143.14|UAP1",0.424637953861183,0.702846791413384,-0.476255698036683
" ENSG00000106003.14|LFNG",-0.516622004379282,0.862658150232392,-0.446456758355067
" ENSG00000174738.13|NR1D2",-0.451408255165555,0.398718795151746,0.620148243886581
" ENSG00000083223.18|TUT7",0.326360825338529,0.338706099974045,-0.593642589661068
" ENSG00000186918.14|ZNF395",-0.280280795827139,0.445917082590915,-0.601111969355727
" ENSG00000196569.14|LAMA2",0.42796733706166,-0.433068867997515,-0.562123880420104
" ENSG00000136156.15|ITM2B",0.161427025545611,-0.422172257703951,0.279115298782378
" ENSG00000211455.8|STK38L",0.424042559753265,0.522184962939616,-0.23662776280921
" ENSG00000075643.6|MOCOS",0.590119816754708,-0.482535731805576,-0.617865827405138
" ENSG00000261208.1|ENSG00000261208",0.655353905325174,-0.606267444673747,-0.252925562373343
" ENSG00000179941.9|BBS10",0.488172347892632,-0.330124296501152,-1.11204801775884
" ENSG00000171940.14|ZNF217",0.518045168754003,0.531582211929398,-0.540016775587789
" ENSG00000125864.14|BFSP1",-0.522039984605317,-0.872478547604639,-0.37178456460615
" ENSG00000159208.16|CIART",-0.923108103520537,-0.670427585607432,-0.571204772212549
" ENSG00000185271.9|KLHL33",-0.459480178020947,-0.402719101139389,0.468866827766027
" ENSG00000170871.12|KIAA0232",0.35710351724389,1.40039183574285,-0.674653220522819
" ENSG00000221914.11|PPP2R2A",0.451074434827222,-0.637731621418506,1.34141379679595
" ENSG00000198885.10|ITPRIPL1",-0.459944235189104,1.12879022914086,-0.386843685770655
" ENSG00000100336.18|APOL4",1.02303596185598,-0.502914500369856,-0.326053801434463
" ENSG00000040199.18|PHLPP2",0.429742112217912,-0.543055636527979,-0.619967475197822
" ENSG00000125812.16|GZF1",0.424518287790323,0.62426881585603,0.57427157103957
" ENSG00000116489.13|CAPZA1",0.189659413840192,-0.412409410873752,-0.377358819747195
" ENSG00000106211.10|HSPB1",-0.391602468099898,-0.509360402249283,-0.41562971454788
" ENSG00000154265.16|ABCA5",0.267607565245361,-0.300413925262302,-0.457529212347343
" ENSG00000167074.15|TEF",-0.502732638144493,0.717690395945024,-0.546987170514997
" ENSG00000101577.11|LPIN2",0.424731176517147,-0.51633423375789,-0.354131622907399
" ENSG00000117461.15|PIK3R3",0.686766960275238,0.689322762996571,1.06369665290869
" ENSG00000148572.16|NRBF2",0.318266315427734,-0.472471693322822,-0.416321954348219
" ENSG00000183111.12|ARHGEF37",-0.366664404645576,-0.368481944841944,-0.364448548350339
" ENSG00000171862.15|PTEN",0.577995693421151,0.637125493575007,0.543974168494724
" ENSG00000079215.15|SLC1A3",0.672513097177826,0.882849729826901,-0.494405624135861
" ENSG00000135821.19|GLUL",0.427238465937368,0.96658136540277,-0.439696827352837
" ENSG00000123411.15|IKZF4",0.78402639211576,-0.375933566999767,-0.660724063540995
" ENSG00000215559.9|ANKRD20A11P",0.595363197547028,-0.461744592223788,0.445705849722257
" ENSG00000169242.12|EFNA1",-0.439283159312797,-0.376604497494152,1.23331460609986
" ENSG00000064042.18|LIMCH1",0.261604902453134,-0.469325366121211,-0.396361251570705
" ENSG00000156273.16|BACH1",0.399082477223877,-0.522444281151385,0.54031012754636
" ENSG00000106052.14|TAX1BP1",0.190236185701252,-0.362609896437386,-0.326934606326834
" ENSG00000100335.15|MIEF1",0.286471756426049,0.712397185541265,-0.549714466217768
" ENSG00000140968.12|IRF8",0.532317588375307,-0.470178747134111,-0.355569874330333
" ENSG00000164850.16|GPER1",-0.409896358546223,-0.490909775497378,-0.434167526532932
" ENSG00000139826.6|ABHD13",0.306974325947982,-0.419066679894018,-0.458703863335999
" ENSG00000104635.15|SLC39A14",0.633910178935998,-0.320754935758004,-0.361794377875227
" ENSG00000159674.12|SPON2",-0.286102821713868,-0.283672370337093,-0.283204820623384
