"","HIGH_vs_LOW","HIGH_vs_MOD","MOD_vs_LOW"
" ENSG00000116489.13|CAPZA1",0.256797687956238,0.369060588274964,-0.421525411281163
" ENSG00000106080.11|FKBP14",0.29566248038682,0.237311373776812,0.250368071702764
" ENSG00000077254.14|USP33",0.337615662673131,-0.52849105252415,-0.262830651357805
" ENSG00000151414.15|NEK7",0.345880921728121,0.322947430359928,-0.358942728619642
" ENSG00000138071.15|ACTR2",0.324365831348138,0.324548394747616,0.323931953605677
" ENSG00000062650.20|WAPL",0.289524642092184,0.415257147635916,-0.440742546759757
" ENSG00000148411.8|NACC2",0.29475230926242,0.265463677698128,-0.284107606491069
" ENSG00000221869.5|CEBPD",-0.551919381062086,0.344795772582658,-0.246259753468807
" ENSG00000108443.14|RPS6KB1",0.395478326764289,0.409722151358845,-0.468433828931685
" ENSG00000083520.15|DIS3",0.261164471559734,0.260568545871246,0.260503441498608
" ENSG00000124766.7|SOX4",-0.483997077159101,-0.483129657942255,-0.481966543172801
" ENSG00000122958.15|VPS26A",0.247221170702177,0.457603811248431,-0.399609706943441
" ENSG00000106460.20|TMEM106B",0.308927723720599,0.305457093853596,-0.325068424045583
" ENSG00000097033.15|SH3GLB1",0.230526636212979,0.300626466537514,-0.339655599414046
" ENSG00000056586.16|RC3H2",0.243072879539282,0.337981646614465,-0.279545216235389
" ENSG00000100697.17|DICER1",0.319501361357646,0.249952539168669,-0.282769564024418
" ENSG00000169967.17|MAP3K2",0.293215521887527,0.352619949171886,-0.364996435235114
" ENSG00000145743.18|FBXL17",0.368244422780532,0.543864686128244,-0.422753197888235
" ENSG00000146729.10|NIPSNAP2",0.237970476729904,0.334234041703715,-0.367806221953512
" ENSG00000151239.14|TWF1",0.265065989037192,-0.401567863136493,-0.314997140661604
" ENSG00000146648.21|EGFR",0.357158702060948,0.257646737185279,-0.266758569669545
" ENSG00000011201.12|ANOS1",0.371451595700016,0.369667293169737,0.368671302890657
" ENSG00000173208.4|ABCD2",0.317626193844112,0.305283019292743,0.300326454389016
" ENSG00000070367.16|EXOC5",0.261864053582447,0.235883391923818,-0.253180615235821
" ENSG00000164104.12|HMGB2",-0.439767623182735,-0.439036223453973,-0.438319311712508
" ENSG00000058063.16|ATP11B",0.281680891332764,0.282092014600242,0.281152777054819
" ENSG00000113163.19|CERT1",0.323316362321785,0.496911905359191,-0.46671893704252
" ENSG00000113391.19|FAM172A",0.220334264698016,0.167682992283828,-0.270180931383494
" ENSG00000265808.4|SEC22B",0.248617462495031,-0.488406382184591,-0.394562404489726
" ENSG00000109790.18|KLHL5",0.194813673347949,0.416112580269078,-0.332488632903375
" ENSG00000084733.11|RAB10",0.188789334758267,0.216398455149431,0.159773098643205
" ENSG00000135503.13|ACVR1B",0.346058282303132,0.343437513498643,0.341345983593944
" ENSG00000082438.18|COBLL1",0.35853342770169,0.223619203361089,-0.24928431267122
" ENSG00000104957.14|YJU2B",-0.280345020387301,0.288767175377877,-0.274584456770714
" ENSG00000152332.16|UHMK1",0.307534734069239,-0.366257758098538,0.259018543066571
" ENSG00000116574.6|RHOU",0.306940324552217,0.211426412276082,0.1843506225583
" ENSG00000108771.13|DHX58",-0.353741102894775,0.270857819368191,0.28357044361139
" ENSG00000118564.15|FBXL5",0.241352887364986,0.243186726127809,0.240094300448606
" ENSG00000138593.9|SECISBP2L",0.246535522504744,0.217688245876339,-0.240020585845601
" ENSG00000122970.16|IFT81",0.305317844139016,0.251499040778845,-0.322486153573704
" ENSG00000163590.14|PPM1L",0.331992320451763,0.321029976595571,-0.264635490871145
" ENSG00000048740.19|CELF2",0.319525439876083,-0.26659049678391,-0.209270375626383
" ENSG00000140299.14|BNIP2",0.189351388191146,-0.305777603258325,0.314478384595306
" ENSG00000135316.20|SYNCRIP",0.264802438848405,0.266700365296014,0.26471584206589
" ENSG00000072364.13|AFF4",0.275905037325257,0.2740263166283,0.27019940849567
" ENSG00000135655.16|USP15",0.238091069026941,0.236429066804258,0.231728421546733
" ENSG00000164684.13|ZNF704",0.281990977837653,0.281674217520921,0.279837027474833
" ENSG00000102753.10|KPNA3",0.269592521507259,-0.215118242778694,-0.200829138752384
" ENSG00000178163.8|ZNF518B",0.336178910905558,0.301174306927912,-0.227863981488436
" ENSG00000171617.16|ENC1",-0.342063085487512,-0.305847179484433,-0.273186563600378
" ENSG00000104320.15|NBN",0.217785213026163,0.23459325156609,-0.252161393395167
" ENSG00000117500.13|TMED5",0.273434498394542,-0.527628357001684,-0.400993080618864
" ENSG00000118596.12|SLC16A7",0.389329264785236,0.388886596026316,0.388030017842133
" ENSG00000135018.14|UBQLN1",0.236749426341364,0.254397004978873,-0.201794059308956
" ENSG00000074603.19|DPP8",0.298942055346053,0.300261283798346,0.2978138914138
" ENSG00000065243.20|PKN2",0.30138502375343,0.30038966353357,0.299122132677536
" ENSG00000163848.21|ZNF148",0.183562073290205,0.167613601959948,0.168139655956912
" ENSG00000123684.13|LPGAT1",0.262164451603621,0.235970823452853,-0.292729011711234
" ENSG00000159593.15|NAE1",0.220921047232373,0.221981938828828,0.217280035846277
" ENSG00000155229.21|MMS19",-0.221407601039797,0.260601585376144,-0.245140079172346
" ENSG00000134352.21|IL6ST",0.299949857014284,-0.319014693991638,-0.301122201997068
" ENSG00000050165.19|DKK3",-0.49633580976351,0.285210293578621,-0.327869444465018
" ENSG00000159399.10|HK2",0.5337571545957,0.30462970936646,-0.338958050446881
" ENSG00000204196.5|RPL12P16",-0.347294641200932,0.188815325662632,0.177296999705616
