"","HIGH","LOW","MOD"
" ENSG00000126368.6|NR1D1",0,0,0
" ENSG00000172594.13|SMPDL3A",0.00535665109252337,0.00355461211062436,0.000401465259092459
" ENSG00000122386.11|ZNF205",0.00277803318384962,0.00133799593090778,0.000303586017207296
" ENSG00000061337.16|LZTS1",0.008311003378912,0.000625527765715339,0.000359624324995589
" ENSG00000272168.10|CASC15",0.00598298738240932,0.000665957044233655,0.000340278544115225
" ENSG00000102572.15|STK24",0.00266019781541941,0.00123018030596359,0.000395434525005123
" ENSG00000100731.16|PCNX1",0.000829045279571392,0.00281225019959317,0.000290291929637874
" ENSG00000078674.20|PCM1",0.0023647807404094,0.00099571563696943,0.000764111050202508
" ENSG00000038274.18|MAT2B",0.0011583389814922,0.00078828320871549,0.000538024299809142
" ENSG00000084207.18|GSTP1",0.00103633634318112,0.000351101665244469,0.000345462501530336
" ENSG00000131149.19|GSE1",0.0014280393232764,0.000995001150047248,0.000332530408295731
" ENSG00000131467.12|PSME3",0.00064844599315506,0.00610518400012288,0.000296230697401546
" ENSG00000174348.14|PODN",0.00022675817356418,0.000258333589148507,9.34468054185622e-05
" ENSG00000175182.15|FAM131A",0.00117347967381984,0.00660196300996827,0.000103849800392686
" ENSG00000148943.12|LIN7C",7.0741728960003e-05,0.000632704173153864,6.22226858902897e-05
" ENSG00000173175.16|ADCY5",0.000423657743187235,0.000277215598933135,5.74345352303274e-05
" ENSG00000108443.14|RPS6KB1",1.58132986530915e-05,1.0373029920574e-05,5.0416474776771e-05
" ENSG00000085514.16|PILRA",0.0220861910301368,0.000521435791371688,0.000123724828567817
" ENSG00000112242.16|E2F3",0.000244741641119563,0.000118953965458579,0.000106764245891511
" ENSG00000291237.1|SOD2",0.000918601788332546,0.000882646777831342,0.000524446703619952
" ENSG00000159231.6|CBR3",0.000481845884678145,7.46669997825388e-05,0.000106273708436411
" ENSG00000272482.2|ENSG00000272482",4.96640940910827e-05,3.02724641731977e-06,4.60143157833041e-06
" ENSG00000102445.20|RUBCNL",0.122581835406,0.00155490823631843,0.000592894821834222
" ENSG00000225889.10|ENSG00000225889",0.00582400689680975,0.000653030331329907,0.000406114243490432
" ENSG00000173011.12|TADA2B",4.22324770531804e-05,1.55582419684702e-05,0.00067821190648627
" ENSG00000152102.18|FAM168B",0.000502681023246321,0.000151996803423815,0.000313263311036893
" ENSG00000115762.17|PLEKHB2",1.44255083369304e-05,2.48851099009518e-06,2.44671717086753e-06
" ENSG00000060237.19|WNK1",0.00298213519694455,0.00150919832257523,0.000454901597943485
" ENSG00000224003.1|YES1P1",0.00228318506515363,7.3986074156762e-05,4.74914269147364e-05
" ENSG00000131504.18|DIAPH1",0.00285971006679465,0.00239857059403241,0.000222649404567954
" ENSG00000079156.17|OSBPL6",0.00655587846731875,0.00109584659352202,0.000309692899673197
" ENSG00000127951.8|FGL2",0.000672787360633516,0.0003286123991908,6.4442833905054e-05
" ENSG00000112893.10|MAN2A1",0.000787305044013207,0.000467860636194417,0.000427479391564511
" ENSG00000138621.12|PPCDC",0.000571470538444085,7.94362081958377e-05,0.000119869685782259
" ENSG00000115604.12|IL18R1",0.00291174635365557,0.0111283624957267,0.000200138913736315
" ENSG00000168209.6|DDIT4",0.0217329974050015,0.00137541186444223,0.00038417729270926
" ENSG00000123689.6|G0S2",0.00585501565118551,0.0466759522269399,0.000355225205852183
" ENSG00000112936.21|C7",6.61189696560577e-05,2.28530905959881e-05,8.83997420871184e-06
" ENSG00000110713.18|NUP98",0.000233161907796086,0.000237249566183761,0.00021440815205731
" ENSG00000186951.17|PPARA",0.00122550583734327,0.000344297103967106,0.00030571254561108
" ENSG00000106804.10|C5",0.000517342934820214,0.000229523191681458,0.000233128725025122
" ENSG00000139977.14|NAA30",0.000277143349058711,0.000679942807144118,0.000207583092970642
" ENSG00000163947.12|ARHGEF3",0.000751127658862722,6.01299361303598e-05,7.70325465899724e-05
" ENSG00000086991.13|NOX4",0.0033593516848252,0.00107099857696846,9.88129012402528e-05
" ENSG00000119471.15|HSDL2",0.00209983843694746,0.00221055723779573,0.000787516691072576
" ENSG00000281005.2|LINC00921",0.00214768869281901,0.0253207657572755,0.000180040603435239
" ENSG00000181788.4|SIAH2",0.00252262674626221,0.00439707066892614,0.00058055016377534
" ENSG00000106546.14|AHR",0.00385237587173137,0.000976457958316912,0.00047751005878327
" ENSG00000137941.17|TTLL7",0.0031128980512543,0.00143065722654453,0.00021407035254184
" ENSG00000110921.14|MVK",6.13840871545035e-05,2.54782204063275e-05,1.5619304101655e-05
" ENSG00000155926.14|SLA",0.00923545755175375,0.000419576955514867,0.000127445336770005
" ENSG00000114790.13|ARHGEF26",0.00105472357731837,0.000211239090909698,0.000194935213921665
" ENSG00000069345.12|DNAJA2",0.000145755070179289,3.88164421228909e-05,0.00079647514311174
" ENSG00000188215.10|DCUN1D3",0.00216994201449477,0.000694399991818417,0.000349448664850167
" ENSG00000141577.14|CEP131",0.000427777746682012,0.000332364568616517,0.000129508006948886
" ENSG00000183655.13|KLHL25",0.00231572678024716,0.000947317669338778,0.000145755405919878
" ENSG00000101265.16|RASSF2",0.0320300514928437,0.000979679684403711,0.000510659121523038
" ENSG00000114648.12|KLHL18",0.00447839296746233,0.00148322225557473,0.000669977715340386
" ENSG00000183576.13|SETD3",0.00108159119992158,0.00101803065337568,0.000356410766432164
" ENSG00000127241.18|MASP1",0.000846544573674029,0.000155662763755479,5.72606826317879e-05
" ENSG00000110395.8|CBL",0.0014718549024907,0.0110284858851288,0.000361229060233836
" ENSG00000250764.1|ENSG00000250764",0.0374098481741366,0.00529053743262686,0.000193396107556915
" ENSG00000154898.16|CCDC144CP",0.0644076890810364,0.00141719357470438,0.000563749745229586
" ENSG00000179023.9|KLHDC7A",0.00159022383929451,3.2989583540366e-05,0.000114179425354966
" ENSG00000167613.16|LAIR1",0.00192919094516519,0.00218636936904115,0.000251781140071516
" ENSG00000135482.7|ZC3H10",0.00114714650069474,0.000842708856349184,0.000499973367916295
" ENSG00000171236.10|LRG1",0.00936943681730625,5.84252374743399e-05,3.14624037204281e-05
" ENSG00000198961.10|PJA2",0.000675108426470996,0.000311970826708974,0.000278247443853992
" ENSG00000145555.15|MYO10",0.00563651938067056,0.00204233840037449,0.00039935620230136
" ENSG00000198162.12|MAN1A2",0.000321385530766799,0.000188534404820283,0.000146140764857826
" ENSG00000131459.13|GFPT2",0.000367465856451439,0.00148008225146345,9.87738709700148e-05
" ENSG00000008323.16|PLEKHG6",0.00192764701390336,0.00035294020201837,0.000197759979285506
" ENSG00000168264.11|IRF2BP2",0.00111535406849584,0.000593709731163916,0.000153968101384187
" ENSG00000138134.12|STAMBPL1",0.00162391517019544,0.000105121088456839,0.000193842236836939
" ENSG00000066336.12|SPI1",0.0280987873126205,0.00107921898887742,0.000386625685469211
" ENSG00000108771.13|DHX58",0.00245865988145277,0.0303270003809195,0.000252853335341686
" ENSG00000225383.8|SFTA1P",0.0196148541845036,0.000516550993796772,0.000678116917750771
" ENSG00000087589.17|CASS4",0.0087694679978474,0.000603893069057128,8.43763644502138e-05
" ENSG00000102753.10|KPNA3",0.00158540634463997,0.00114169788848284,0.000637704141778328
" ENSG00000175556.17|LONRF3",0.0010771209076297,0.00231681686049943,3.35303887712968e-05
" ENSG00000163536.13|SERPINI1",0.000290302073461923,0.000513429648588359,5.82786772402866e-05
" ENSG00000130779.22|CLIP1",0.000514299606007527,0.000522783040838025,0.000146307193562276
" ENSG00000143624.14|INTS3",0.00222908836293867,0.00518320384696716,0.000755269690175961
" ENSG00000188895.12|MSL1",0.000942995563520288,0.00217629717972529,0.000540101858553151
" ENSG00000126934.15|MAP2K2",0.000463375159010404,0.000651443524690709,0.000167045614274157
" ENSG00000120327.7|PCDHB14",0.00172798901077575,0.0230237121691759,0.000102470151030885
" ENSG00000005893.17|LAMP2",0.00180953520571938,0.00433365720156609,0.000681664397626847
" ENSG00000076321.11|KLHL20",0.00372014369372267,0.0369803649766955,0.000495259399961423
" ENSG00000188130.14|MAPK12",0.000989764069278642,0.000544073214878345,0.000266438782918339
" ENSG00000117525.14|F3",7.96106372519806e-05,1.01333739936926e-05,3.11395844742046e-05
" ENSG00000236404.12|VLDLR-AS1",0.0166655311118464,0.000916906899041225,0.000467959287762554
" ENSG00000109332.20|UBE2D3",0.00111765967192972,0.00244077846758728,0.000440065587325321
" ENSG00000198598.7|MMP17",0.000543561806568005,8.02739903493777e-05,9.89202984504889e-05
" ENSG00000170262.13|MRAP",0.00180976936542865,0.00194983296655216,0.000115637966273008
" ENSG00000108256.9|NUFIP2",0.00119940612661963,0.0203548802561135,0.000134647185541792
" ENSG00000137807.16|KIF23",0.0274712231318517,0.010362683413161,0.000414576827882041
" ENSG00000196209.13|SIRPB2",0.0705649370311187,0.00302580137957734,0.00031104481716504
" ENSG00000110693.19|SOX6",0.00266402047039538,0.000409755023308959,0.000432867080037203
" ENSG00000152784.16|PRDM8",0.0118215654106837,0.0266974464512213,0.000371609343885249
" ENSG00000166965.13|RCCD1",0.00114012872050728,0.000434589827197684,0.000234807847776741
" ENSG00000172071.15|EIF2AK3",0.00226856069948026,0.00229408129973296,0.000638579976593667
" ENSG00000179051.14|RCC2",0.00121702123191858,0.00113151978219195,0.000195510647946096
" ENSG00000144426.19|NBEAL1",0.0010806696472352,0.00117643148639634,0.000199583143627706
" ENSG00000022567.10|SLC45A4",0.003689055630615,0.0207170898246456,0.000363201231983805
" ENSG00000166181.13|API5",0.000761558043469722,0.00117004828563527,0.000505772342555333
" ENSG00000091527.17|CDV3",0.00211891449676629,0.00118031316299227,0.000961699016141611
" ENSG00000180776.17|ZDHHC20",0.00385405861919901,0.00506945307887474,0.000724314123373545
" ENSG00000180304.14|OAZ2",0.000582234520326574,0.000408256685217268,0.000196778105245765
" ENSG00000182487.13|NCF1B",0.0524539412598964,0.000932815739304657,0.000148734628620985
" ENSG00000059728.11|MXD1",0.0223032478711216,0.00176067970381344,0.000716297083984241
" ENSG00000279718.1|SNX18P12",0.0283822391519951,0.000847507055955155,0.000220838268520518
" ENSG00000095203.15|EPB41L4B",0.000578652954957183,0.000705093607066276,0.000252561287273134
" ENSG00000102802.10|MEDAG",0.000278899904089314,9.76018393601044e-05,6.89432027448644e-05
" ENSG00000104081.14|BMF",0.0028118971643859,0.00170595206272961,0.00016730453051061
" ENSG00000168140.5|VASN",0.0012356010638056,0.000109354923759963,0.000256990615956965
" ENSG00000267731.1|ENSG00000267731",0.0320614819348392,0.0035318799377253,0.000684607134347481
" ENSG00000131508.17|UBE2D2",0.00084683176989923,0.000293100755576647,0.000708845023933066
" ENSG00000262814.8|MRPL12",0.0142986433471851,0.00152506152210022,0.000502321635206582
" ENSG00000197769.6|MAP1LC3C",0.00110283880574733,7.44797048893853e-05,8.53965022955538e-05
" ENSG00000139970.18|RTN1",0.000804318993091289,0.00653391070752283,7.37530808797571e-05
" ENSG00000102901.13|CENPT",0.00292365365514047,0.0176946403562794,0.000468766966495669
" ENSG00000132824.14|SERINC3",0.00223723302608792,0.00318436463707983,0.00100016167557548
" ENSG00000127947.16|PTPN12",0.00202985669826871,0.00398461958767353,0.000413950691604306
" ENSG00000272574.1|ENSG00000272574",0.0139057992749382,8.71512763717108e-05,0.000236945915755874
" ENSG00000126243.9|LRFN3",0.00389437337547105,0.00740547036947796,0.000500034889554413
" ENSG00000121775.18|TMEM39B",0.00110053712175295,0.000753536837425172,9.03320096449223e-05
" ENSG00000163527.10|STT3B",0.0023919257963,0.00229009484067492,0.000748718739419507
" ENSG00000164830.19|OXR1",0.00161985539292944,0.0108685056568893,0.000192752621989034
" ENSG00000125378.16|BMP4",0.0151038121857253,0.0033230384093918,0.000542478235017296
" ENSG00000153187.21|HNRNPU",0.0021889131453775,0.00251291489562611,0.00105254781097663
" ENSG00000139278.10|GLIPR1",0.00508691794096161,0.000584167623462584,0.000269040000742571
" ENSG00000177098.9|SCN4B",0.000120958256731751,8.85995103839884e-05,0.000196968079564719
" ENSG00000141526.18|SLC16A3",0.0155836084783369,0.00951742971606762,0.000560099796694469
" ENSG00000049449.10|RCN1",0.00276042716587321,0.00833412912841353,0.000635997068783589
" ENSG00000100592.16|DAAM1",0.00034408716897627,0.000191598726451104,8.42847952569059e-05
" ENSG00000162591.17|MEGF6",0.00293405160444948,0.00169807455935522,0.000378991887855121
" ENSG00000102898.13|NUTF2",0.000959481704965071,0.00138198297855863,0.000262096572630655
" ENSG00000169439.12|SDC2",0.00422192116509873,0.0993499445940083,0.000841057386294142
" ENSG00000166133.18|RPUSD2",0.00755058983563373,0.00188324641334825,0.000830086722013597
" ENSG00000270367.1|ADAD1P1",0.0435291600205548,0.00103327249638096,0.000413681407412048
" ENSG00000074416.16|MGLL",0.00267481063624664,0.00266709539498159,0.000766239025720816
" ENSG00000133657.17|ATP13A3",0.00191786806749182,0.0764686639472855,0.000545389697541254
" ENSG00000186340.17|THBS2",0.00116935629599726,0.00029843174003721,5.55502594317137e-05
" ENSG00000245849.8|RAD51-AS1",0.000704412552180012,0.000660314860265854,0.000156818356657484
" ENSG00000149658.18|YTHDF1",0.00276855311464968,0.00132706434897645,0.00108538718345917
" ENSG00000178078.12|STAP2",0.0134829200438528,0.000516138645710207,0.000357227837659124
" ENSG00000137225.13|CAPN11",0.00320717058891828,0.0114083258944167,0.000329587889412952
" ENSG00000034152.20|MAP2K3",0.000556263313051354,0.000598353892297866,0.000133406315660968
" ENSG00000186529.16|CYP4F3",0.192841868679517,0.0030775206013454,0.000857627569050279
" ENSG00000115137.12|DNAJC27",7.65657968116141e-05,4.56944092529755e-05,1.62940058062722e-05
" ENSG00000115365.13|LANCL1",0.00375488472842209,0.0053585462204747,0.000783551649795045
" ENSG00000105656.13|ELL",0.00425055449054576,0.00278430936489549,0.00101985110167901
" ENSG00000182963.11|GJC1",0.00709551097626704,0.00502344785583697,0.00073910101372341
" ENSG00000091262.17|ABCC6",0.00105692621913445,0.000327974645415896,0.000164212797075125
" ENSG00000140368.14|PSTPIP1",0.0336362350285541,0.0125740623765606,0.0005908634119034
" ENSG00000026652.15|AGPAT4",0.00286964826337133,0.000817189347597965,0.000596687913437144
" ENSG00000261596.2|ENSG00000261596",0.0580525151120154,0.00114779865769578,0.000350776112405909
" ENSG00000167772.12|ANGPTL4",0.000601847851907671,5.51551047828225e-05,8.42515843000344e-05
" ENSG00000177732.9|SOX12",0.00058748057118474,0.000671538410758843,4.33105208911465e-05
" ENSG00000185920.19|PTCH1",0.000925080742513962,0.000450208278826305,0.000111831822092956
" ENSG00000279981.1|ENSG00000279981",0.00192495879581189,0.000197063790245622,3.54602038648011e-05
" ENSG00000205744.10|DENND1C",0.0595021451975085,0.00138546628248104,0.000402339871228508
" ENSG00000146094.16|DOK3",0.0523771798954703,0.00186179578209825,0.000386304712873708
" ENSG00000091136.15|LAMB1",0.000461577865356055,0.0186034895796588,0.000348228898670999
" ENSG00000164329.15|TENT2",0.0051262681598715,0.00447466124199206,0.000994776090022964
" ENSG00000123066.9|MED13L",0.00489706494709837,0.00192040440221064,0.000947547579779045
" ENSG00000173918.15|C1QTNF1",0.00232630126828818,0.00578970558421683,0.00028233208573647
" ENSG00000132965.10|ALOX5AP",0.0195905967933951,0.00126814332334438,0.000266113203142515
" ENSG00000148154.10|UGCG",0.00368819092174172,0.00195295007082743,0.000641662618612093
" ENSG00000008405.12|CRY1",0.00227380547582765,0.00118748549345349,0.000340615079741678
" ENSG00000174640.15|SLCO2A1",0.0040691924917877,0.000362465940296149,0.000158225195742934
" ENSG00000176788.9|BASP1",0.0709739694013666,0.00217630222784526,0.000889212670898254
" ENSG00000156853.13|ZNF689",0.00144014045811252,0.0047645079490583,0.000261342932378183
" ENSG00000115738.10|ID2",0.0103279528723257,0.00114603921527323,0.00171144682758495
" ENSG00000151414.15|NEK7",0.000911610426626929,0.000731715514398323,0.000709635243088425
" ENSG00000116171.19|SCP2",0.000943092523351673,0.0135216273106773,0.000507187865811165
" ENSG00000180871.8|CXCR2",0.102723461437202,0.000996164293209478,0.00081924867864791
" ENSG00000178980.16|SELENOW",0.00144505809439455,0.00454274882509864,0.000251986952257477
" ENSG00000115590.14|IL1R2",0.0805375530515054,0.000891467285709657,0.000333778130761853
" ENSG00000108666.11|C17orf75",0.00525980223573086,0.003928385079218,0.000520433664691072
" ENSG00000198898.16|CAPZA2",0.00145732245469653,0.00545034920805154,0.000357976388859371
" ENSG00000120705.13|ETF1",0.00196528893569433,0.00189208930770179,0.00107374454930775
" ENSG00000182606.17|TRAK1",0.000239254277238365,0.000201822597601931,9.28600617996954e-05
" ENSG00000027847.14|B4GALT7",0.00581966863057515,0.0025722393955091,0.00054126860002197
" ENSG00000128917.8|DLL4",0.0013659725112255,0.000480206324643295,0.000120810757445633
" ENSG00000113575.12|PPP2CA",0.000188247037842807,5.77564132637765e-05,0.0032378487875472
" ENSG00000172175.16|MALT1",0.000499234704986495,0.00965281220735503,0.000355130499888223
" ENSG00000269834.8|ZNF528-AS1",0.00602248711217257,0.00149914975878629,0.000574614240362588
" ENSG00000272320.1|ENSG00000272320",0.0359150157100686,0.00149322099820537,0.000681690989076127
" ENSG00000091879.14|ANGPT2",0.0158551842732677,0.00692547371721719,0.000486147138611895
" ENSG00000090376.11|IRAK3",0.00175383618319223,0.00208890439043466,0.000183468239094653
" ENSG00000157514.18|TSC22D3",0.00321723207924218,0.00306820333802482,0.000131180740530489
" ENSG00000166473.19|PKD1L2",8.37504176994797e-05,0.000375145014282833,7.6952853074854e-05
" ENSG00000265808.4|SEC22B",0.00142741994243597,0.00217906293307701,0.000890990043048823
" ENSG00000176428.6|VPS37D",0.00566493872675244,0.000504588155414765,0.000251504611031406
" ENSG00000240065.8|PSMB9",0.00173785477897914,0.000461960071688861,0.000182335056123417
" ENSG00000183475.13|ASB7",0.00152555537834344,0.00914876053382196,0.000275370043953748
" ENSG00000135945.10|REV1",0.000628825834714044,0.0114484520710873,0.000274290950520965
" ENSG00000170946.15|DNAJC24",0.000773110112331932,0.00942000073727848,0.000335462982112843
" ENSG00000165997.5|ARL5B",0.00419389556273978,0.0185109035549604,0.000645806669372463
" ENSG00000176435.7|CLEC14A",0.0045924717667819,0.0640626705642652,0.000780880493764569
" ENSG00000159216.19|RUNX1",0.00140464570555589,0.000628726169904868,8.55129001331534e-05
" ENSG00000170011.14|MYRIP",0.00642054421502827,0.000713204669687051,0.000551811512973233
" ENSG00000136059.16|VILL",0.00686907186742058,0.00338969826910107,0.000446808864123444
" ENSG00000146648.21|EGFR",0.000982771982750446,0.000507636193492438,0.000219111468558496
" ENSG00000197405.8|C5AR1",0.0324850228740689,0.00187229782078913,0.0004015224186249
" ENSG00000226197.4|ENSG00000226197",0.0158278609662713,0.00873283508659233,0.000454932567440669
" ENSG00000214428.3|NPM1P10",0.0289544418196427,0.000769565929650917,0.000544226915293877
" ENSG00000101596.17|SMCHD1",0.000171772937104657,6.35119535083267e-05,0.000235374762148743
" ENSG00000142864.15|SERBP1",0.000965668112325289,0.0010116012397174,0.000592914789980248
" ENSG00000185347.19|TEDC1",0.0099249075278357,0.00134315593665491,0.00046634696258685
" ENSG00000102038.16|SMARCA1",0.00314119894566365,0.00222826544435717,0.00112384247708892
" ENSG00000184434.8|LRRC19",0.0161726642269586,0.000543288559965882,0.000245799095007215
" ENSG00000290801.1|ENSG00000290801",0.00147212456121537,1.46120091271129e-05,5.54436623841914e-05
" ENSG00000073849.16|ST6GAL1",0.000778340880343564,0.000290497216946406,0.000141969832375133
" ENSG00000145495.17|MARCHF6",0.00199000802545815,0.00242877045244017,0.00109227914190568
" ENSG00000290960.1|ENSG00000290960",0.00044689201369974,0.000143756783177351,8.9233725580562e-05
" ENSG00000132122.12|SPATA6",0.00537888996591899,0.00125588552453748,0.00102399979767943
" ENSG00000078549.16|ADCYAP1R1",0.00434511212441546,0.00419317249171736,0.000382842171984618
" ENSG00000198911.13|SREBF2",0.0001363525387853,6.38906767474117e-05,0.000164252024484779
" ENSG00000114270.18|COL7A1",0.000974147786282686,0.000238598377616417,0.000120753790131545
" ENSG00000235609.7|ENSG00000235609",0.00422400742500454,0.0162388119679742,0.000554455808501775
" ENSG00000213064.10|SFT2D2",0.00316744379859342,0.00317132348968074,0.00109776260271655
" ENSG00000167965.18|MLST8",0.00107408681860721,0.00118927417180836,0.00025571039710437
" ENSG00000173614.14|NMNAT1",0.00184241348227565,0.00150049073754943,0.00034985383390107
" ENSG00000177302.15|TOP3A",0.00104494699094491,0.000209360018155968,0.000317252716169229
" ENSG00000154721.15|JAM2",3.04670370565585e-05,7.80038385472803e-06,4.73380793042377e-05
" ENSG00000136100.14|VPS36",0.00109879356021995,0.00257072541296954,0.000408972883031732
" ENSG00000151748.15|SAV1",0.00523926066883639,0.00943273333808033,0.000445355928115898
" ENSG00000203485.14|INF2",0.00131910514722378,0.00296083329206731,0.000536483260481502
" ENSG00000101871.18|MID1",0.00129827826924966,0.000417219500340007,0.000544060922470955
" ENSG00000142347.19|MYO1F",0.0218991398880267,0.000320993215582543,0.000227771599882239
" ENSG00000197971.16|MBP",0.00728042412245307,0.00172665397641791,0.000751715671603814
" ENSG00000102858.13|MGRN1",0.00272528576135334,0.00459120454287743,0.00104080704849563
" ENSG00000126524.12|SBDS",0.00371950052822028,0.00489852207274866,0.00145373556749417
" ENSG00000119729.12|RHOQ",0.000627020550347964,0.000565926821879392,0.000664017972293429
" ENSG00000141682.12|PMAIP1",0.0648679778495074,0.000826757194724248,0.000414849890597679
" ENSG00000132423.12|COQ3",0.000797002713432082,0.000788856142816523,0.000406576042408277
" ENSG00000274536.9|MIR223HG",0.0516153380324512,0.000397416992276942,0.000261235417784111
" ENSG00000047410.14|TPR",0.00241567582791555,0.00113909844659044,0.0010741241575873
" ENSG00000092148.14|HECTD1",0.0026206967849541,0.00188967226273626,0.000825490701639953
" ENSG00000116981.4|NT5C1A",0.0121529107126269,0.000106231099205426,0.000189952712494557
" ENSG00000184640.20|SEPTIN9",0.0041399227875657,0.00440202998460084,0.00119173977265696
" ENSG00000114450.11|GNB4",0.00231301719754562,0.0270933777546219,0.000780987999374088
" ENSG00000103569.11|AQP9",0.125363723674191,0.00201670923732736,0.000613759185501883
" ENSG00000159459.12|UBR1",0.00336811855254493,0.00678435416492956,0.00047943251504512
" ENSG00000159055.4|MIS18A",0.00244089928067104,0.00514902663881241,0.000416032612862383
" ENSG00000132205.11|EMILIN2",0.0107933860962822,0.00206053278188667,0.000779421653177381
" ENSG00000278962.1|ENSG00000278962",0.00915816653724677,0.00101832788640321,0.000730204361701348
" ENSG00000253958.2|CLDN23",0.000245174577918838,3.89301577384291e-05,0.000155736350946721
" ENSG00000172273.13|HINFP",0.0025946104604303,0.00125968903353524,0.000327102904349452
" ENSG00000230630.5|DNM3OS",0.0115877356805928,0.00497028482007033,0.000833175145114606
" ENSG00000066382.17|MPPED2",0.0150892805767275,0.00147316568224032,0.000505955610986208
" ENSG00000116750.14|UCHL5",0.00355713246836822,0.0203589650567324,0.000644444427791879
" ENSG00000163364.12|LINC01116",0.00071099979132716,5.73998817822578e-05,0.000123258064154474
" ENSG00000136193.17|SCRN1",0.00195000066334062,0.000496301143723565,0.000929985600292128
" ENSG00000116161.18|CACYBP",0.00336589506685125,0.0257389015521584,0.000734764855896741
" ENSG00000101384.12|JAG1",0.00519021610847181,0.00518671833467889,0.000498134498313263
" ENSG00000284237.1|LINC02767",0.00969845452838669,0.00350011240295256,0.000438734367125076
" ENSG00000187257.16|RSBN1L",0.00167014463919057,0.0010273529703565,0.000325357569394558
" ENSG00000163882.10|POLR2H",0.000635431802841313,0.000829125125537233,0.000237003796655255
" ENSG00000168938.6|PPIC",0.000556224306398789,0.000707677150264097,0.000346299190976618
" ENSG00000059804.17|SLC2A3",0.0275784732287104,0.00312413149808751,0.000736005524401118
" ENSG00000276600.5|RAB7B",0.00232772447374308,0.00131163825302204,0.000179925523154378
" ENSG00000114737.16|CISH",0.128289465019936,0.00243113416695673,0.00124550170634627
" ENSG00000164050.13|PLXNB1",0.00527649359075855,0.00567885229735088,0.000887549810544487
" ENSG00000163221.9|S100A12",0.198376657382469,0.00224830484288011,0.000686570997746938
" ENSG00000019144.20|PHLDB1",0.00183407582938799,0.000772152976104667,0.000590729974599699
" ENSG00000205208.5|C4orf46",0.0118850982929892,0.00596134716896007,0.000755412550735302
" ENSG00000229153.7|EPHA1-AS1",0.0161675892067707,0.000243022029998485,0.000399356435017317
" ENSG00000163660.12|CCNL1",0.00196016123160277,0.00123129763229912,0.000601197451481372
" ENSG00000077092.20|RARB",0.0481763045360243,0.00435219064148806,0.00114288760409875
" ENSG00000146374.14|RSPO3",0.000797470888765361,0.000548078394922769,0.000179995419816947
" ENSG00000139178.12|C1RL",0.000714596575658706,0.000246866886495548,0.00534671786410246
" ENSG00000159733.14|ZFYVE28",0.00476179704313094,0.00232165088163517,0.000438168595579769
" ENSG00000158615.10|PPP1R15B",0.00271331133110529,0.0219214020566281,0.000607443329650327
" ENSG00000114013.16|CD86",0.0430545948544753,0.00230337327179477,0.000795033094876385
" ENSG00000133083.15|DCLK1",7.80593182402966e-05,3.50272697543508e-05,0.000691848194728006
" ENSG00000105427.10|CNFN",0.0144249151049372,0.00156100969059132,0.000504208252926348
" ENSG00000147874.11|HAUS6",0.00327754491840088,0.00126565206940243,0.00116793426240459
" ENSG00000168386.19|FILIP1L",0.00180819660866157,0.000573053647170862,0.000655966522278506
" ENSG00000105879.13|CBLL1",0.00368505138536896,0.105238806717564,0.000725691631949132
" ENSG00000172590.18|MRPL52",0.0102209806082754,0.00498993874847775,0.000765355732257778
" ENSG00000173114.13|LRRN3",0.00173546550420031,0.00110809236639277,0.000130084668831552
" ENSG00000164687.11|FABP5",0.00418101753094224,0.00114628905957324,0.00109536394658405
" ENSG00000198276.16|UCKL1",0.00172356205457969,0.00102802645217925,0.000875131550966929
" ENSG00000109133.14|TMEM33",0.00105703910053091,0.00140598773103199,0.000288860710604609
" ENSG00000163762.7|TM4SF18",0.00141679317022358,0.000861874979807165,0.000196454131264345
" ENSG00000143942.5|CHAC2",0.00352413197910202,0.00515005783465545,0.000200142579427983
" ENSG00000163041.13|H3-3A",0.00123718834408418,0.0126125847039133,0.000430548056418377
" ENSG00000113303.12|BTNL8",0.0657752912301228,0.0386883369822557,0.000773986027676643
" ENSG00000267681.1|ENSG00000267681",0.080892161691126,0.00447483796512205,0.000983239595950369
" ENSG00000122126.18|OCRL",0.00401080727825375,0.00261001902459179,0.00110467442130257
" ENSG00000242950.7|ERVW-1",0.0764133794245386,0.00250464358128666,0.000838106926200566
" ENSG00000272316.1|ENSG00000272316",0.00277622428793078,0.00170553623459248,0.00093284577031516
" ENSG00000051620.11|HEBP2",0.00543088311767768,0.00381150170784106,0.00156933518694841
" ENSG00000233175.2|FMNL1-AS1",0.0872057313501447,0.00069416256656607,0.000949562454755908
" ENSG00000286214.1|COPG2IT1",0.000118788546795424,4.73496730360264e-05,4.59554322640443e-05
" ENSG00000153037.15|SRP19",0.00424118950504151,0.00978887300821613,0.000753753207159202
" ENSG00000197323.12|TRIM33",0.00110409727226451,0.000424639767163448,0.00121331266447925
" ENSG00000160791.14|CCR5",0.0979483454622431,0.00223331327637721,0.000991591314002727
" ENSG00000070756.17|PABPC1",0.0011623638070896,0.000819677034266021,0.000801437072984135
" ENSG00000136014.12|USP44",0.0148211251133887,0.00249909072849586,0.000530551793859302
" ENSG00000134109.11|EDEM1",0.00264370434458301,0.0331653821446398,0.001115958103036
" ENSG00000160551.12|TAOK1",0.00143191993312974,0.00359933359100806,0.000381364525334706
" ENSG00000023909.10|GCLM",0.00249754290110012,0.000702916087043648,0.000487050174260064
" ENSG00000155085.16|AK9",0.00210734941651503,0.00099975297808097,0.000368399923309504
