"","Var1","Var2","bicor","pval","obs","sig"
"213","FCS_mean","ME9",-0.398245297213751,0.00674008556196795,45,"**"
"214","SR","ME9",0.373826900428965,0.0114195231044199,45,"*"
"215","CD14_per_adipocyte","ME9",-0.0462170276570896,0.765777446799234,44,""
"216","CD206_per_adipocyte","ME9",-0.0396373297800507,0.798371322208441,44,""
"217","Age","ME4",-0.112804072546172,0.460649110437495,45,""
"218","Sex","ME4",-0.15736605334713,0.301890594929253,45,""
"219","Bodyweight","ME4",-0.0442436776316139,0.772898936611592,45,""
"220","Lean_mass","ME4",0.0660439359763334,0.666439119586736,45,""
"221","Fat_mass","ME4",-0.199541559915794,0.188792575952222,45,""
"222","BodyFat","ME4",-0.186708630461351,0.21942137929303,45,""
"223","BMI","ME4",-0.140513329247491,0.357235157340009,45,""
"224","Waist_circumference","ME4",-0.0223547742866375,0.884111968707208,45,""
"225","SBP","ME4",-0.238669532477993,0.114358131059199,45,""
"226","DBP","ME4",-0.136287991345946,0.372020042375612,45,""
"227","Resting_HR","ME4",0.058700970163189,0.701699238900715,45,""
"228","Max_HR","ME4",0.144479907201112,0.343685636572265,45,""
"229","VO2peak","ME4",-0.105511558105274,0.490316894778041,45,""
"230","VO2peak_kg_min","ME4",-0.118435537107801,0.438418993557883,45,""
"231","VO2peak_kgLM_min","ME4",-0.252451062017841,0.0943155971244737,45,""
"232","RMR","ME4",0.0183635168225601,0.905819681997436,44,""
"233","Fat_OX","ME4",0.067112349962898,0.665126820661187,44,""
"234","CHO_OX","ME4",-0.0936447318676596,0.545433198446516,44,""
"235","HOMA_IR","ME4",0.0571239584293803,0.709356495471284,45,""
"236","Adipo_IR","ME4",0.166451641683035,0.27447462047819,45,""
"237","Glucose","ME4",0.191819194906129,0.206836147464454,45,""
"238","Insulin","ME4",-0.00871082541278065,0.954711940039941,45,""
"239","NEFA","ME4",0.145877667475831,0.338987474342599,45,""
"240","Glycerol","ME4",-0.116674052991897,0.445307689023353,45,""
"241","Triglyceride","ME4",0.0656662316707776,0.671931605769854,44,""
"242","Lactate","ME4",-0.0402753401994359,0.792798035433821,45,""
"243","Cortisol","ME4",0.0805047842830681,0.603426344489188,44,""
"244","IFNg","ME4",0.0765610698855163,0.617166914205446,45,""
"245","IL10","ME4",-0.103491302231562,0.508986108192481,43,""
"246","IL1b","ME4",-0.151375926669152,0.320894919428935,45,""
"247","IL6","ME4",-0.235744782640666,0.160125464869285,37,""
"248","TNFa","ME4",0.0493662839687353,0.747424924124857,45,""
"249","FCS_mean","ME4",-0.085563990703412,0.576260448779458,45,""
"250","SR","ME4",0.0818924795138755,0.592793510999968,45,""
"251","CD14_per_adipocyte","ME4",-0.22281177616564,0.146011547563406,44,""
"252","CD206_per_adipocyte","ME4",0.116748519378668,0.450420473760477,44,""
"253","Age","ME12",0.13631564194634,0.371922116805031,45,""
"254","Sex","ME12",-0.163336433910743,0.28368359712751,45,""
"255","Bodyweight","ME12",0.320460666160111,0.0318586657619738,45,"*"
"256","Lean_mass","ME12",0.125901274213636,0.409887494876009,45,""
"257","Fat_mass","ME12",0.313146242541764,0.0362122119933918,45,"*"
"258","BodyFat","ME12",0.230009825077002,0.128512135398128,45,""
"259","BMI","ME12",0.252858696262075,0.0937671313849443,45,""
"260","Waist_circumference","ME12",0.28980839112317,0.0534764409476717,45,""
"261","SBP","ME12",-0.0770271083675725,0.615019520828902,45,""
"262","DBP","ME12",0.107656812334115,0.481487979322082,45,""
"263","Resting_HR","ME12",-0.0681634077832999,0.65638846391698,45,""
"264","Max_HR","ME12",-0.111033329335312,0.467762588760543,45,""
"265","VO2peak","ME12",0.0384248851050766,0.802122615511799,45,""
"266","VO2peak_kg_min","ME12",-0.221285221898317,0.144060976497829,45,""
"267","VO2peak_kgLM_min","ME12",-0.110024048525739,0.471843212758346,45,""
"268","RMR","ME12",-0.18191484741467,0.237269001451564,44,""
"269","Fat_OX","ME12",-0.189106130594077,0.218919768178026,44,""
"270","CHO_OX","ME12",0.0603607782003021,0.69711575510464,44,""
"271","HOMA_IR","ME12",0.221051032549926,0.144496698864815,45,""
"272","Adipo_IR","ME12",-0.168330480845315,0.269016830025218,45,""
"273","Glucose","ME12",0.265239965263016,0.0782542832380132,45,""
"274","Insulin","ME12",0.217652162834048,0.150930587849831,45,""
"275","NEFA","ME12",-0.285055382967085,0.0576977994502626,45,""
"276","Glycerol","ME12",-0.116849476703843,0.444618997105343,45,""
"277","Triglyceride","ME12",0.128723919706068,0.404986114312281,44,""
"278","Lactate","ME12",0.418177706014648,0.00425573142407436,45,"**"
"279","Cortisol","ME12",-0.0840522888289777,0.587508116382243,44,""
"280","IFNg","ME12",0.0117903021368168,0.938727996394675,45,""
"281","IL10","ME12",-0.0593204107217473,0.705534151151479,43,""
"282","IL1b","ME12",-0.142661381123503,0.349857790887024,45,""
"283","IL6","ME12",0.0787817962621132,0.643016927283493,37,""
"284","TNFa","ME12",0.185277907957433,0.223037684677011,45,""
"285","FCS_mean","ME12",0.305937435341989,0.0409700516674051,45,"*"
